methode,type,threshold,nom_instance,N,M,F,tps,solv,obj,obj1,obj2,obj22,setup,valide,feas,opt 
IP3.exe,T15_medium,medium,instance_20_3_5_10_9_Mthr_6.txt,20,3,5,"95,375",1,3288,428,1,1,9,1,1,1
IP3.exe,T15_medium,medium,instance_20_3_5_10_9_Mthr_7.txt,20,3,5,"36,016",1,387,387,0,0,11,1,1,1
IP3.exe,T15_medium,medium,instance_20_3_5_10_9_Mthr_8.txt,20,3,5,"41,562",1,460,460,0,0,9,1,1,1
IP3.exe,T15_medium,medium,instance_20_3_5_10_9_Mthr_9.txt,20,3,5,"128,953",1,4505,425,2,2,7,1,1,1
IP3.exe,T15_small,small,instance_20_3_5_10_9_Sthr_0.txt,20,3,5,"290,312",1,9169,469,3,3,5,1,1,1
IP3.exe,T15_small,small,instance_20_3_5_10_9_Sthr_1.txt,20,3,5,"428,062",1,5291,411,9,9,12,0,1,1
IP3.exe,T15_small,small,instance_20_3_5_10_9_Sthr_2.txt,20,3,5,"600,047",1,8459,419,9,8,9,0,1,0
IP3.exe,T15_small,small,instance_20_3_5_10_9_Sthr_3.txt,20,3,5,"600,14",1,18678,758,9,8,9,0,1,0
IP3.exe,T15_small,small,instance_20_3_5_10_9_Sthr_4.txt,20,3,5,"600,031",1,10641,561,3,3,8,1,1,0
IP3.exe,T15_small,small,instance_20_3_5_10_9_Sthr_5.txt,20,3,5,"600,062",1,10769,449,9,9,7,0,1,0
IP3.exe,T15_small,small,instance_20_3_5_10_9_Sthr_6.txt,20,3,5,"59,844",1,351,351,0,0,13,1,1,1
IP3.exe,T15_small,small,instance_20_3_5_10_9_Sthr_7.txt,20,3,5,"212,047",1,6445,485,2,2,14,1,1,1
IP3.exe,T15_small,small,instance_20_3_5_10_9_Sthr_8.txt,20,3,5,"314,625",1,10002,642,3,3,6,1,1,1
IP3.exe,T15_small,small,instance_20_3_5_10_9_Sthr_9.txt,20,3,5,"600,063",1,12158,518,3,3,6,1,1,0
IP3.exe,T16_big,big,instance_20_4_2_10_6_Bthr_0.txt,20,4,2,"1,797",1,414,414,0,0,2,1,1,1
IP3.exe,T16_big,big,instance_20_4_2_10_6_Bthr_1.txt,20,4,2,"1,36",1,314,314,0,0,1,1,1,1
IP3.exe,T16_big,big,instance_20_4_2_10_6_Bthr_2.txt,20,4,2,"1,297",1,276,276,0,0,2,1,1,1
IP3.exe,T16_big,big,instance_20_4_2_10_6_Bthr_3.txt,20,4,2,"2,766",1,404,404,0,0,2,1,1,1
IP3.exe,T16_big,big,instance_20_4_2_10_6_Bthr_4.txt,20,4,2,"1,125",1,251,251,0,0,2,1,1,1
IP3.exe,T16_big,big,instance_20_4_2_10_6_Bthr_5.txt,20,4,2,"19,469",1,516,516,0,0,3,1,1,1
IP3.exe,T16_big,big,instance_20_4_2_10_6_Bthr_6.txt,20,4,2,"4,328",1,540,540,0,0,0,1,1,1
IP3.exe,T16_big,big,instance_20_4_2_10_6_Bthr_7.txt,20,4,2,"1,234",1,272,272,0,0,0,1,1,1
IP3.exe,T16_big,big,instance_20_4_2_10_6_Bthr_8.txt,20,4,2,"0,844",1,226,226,0,0,2,1,1,1
IP3.exe,T16_big,big,instance_20_4_2_10_6_Bthr_9.txt,20,4,2,"13,688",1,748,748,0,0,4,1,1,1
IP3.exe,T16_medium,medium,instance_20_4_2_10_6_Mthr_0.txt,20,4,2,"4,265",1,524,524,0,0,2,1,1,1
IP3.exe,T16_medium,medium,instance_20_4_2_10_6_Mthr_1.txt,20,4,2,"0,141",1,95,95,0,0,1,1,1,1
IP3.exe,T16_medium,medium,instance_20_4_2_10_6_Mthr_2.txt,20,4,2,"1,609",1,226,226,0,0,4,1,1,1
IP3.exe,T16_medium,medium,instance_20_4_2_10_6_Mthr_3.txt,20,4,2,"3,328",1,420,420,0,0,2,1,1,1
IP3.exe,T16_medium,medium,instance_20_4_2_10_6_Mthr_4.txt,20,4,2,"1,797",1,292,292,0,0,4,1,1,1
IP3.exe,T16_medium,medium,instance_20_4_2_10_6_Mthr_5.txt,20,4,2,"12,984",1,367,367,0,0,4,1,1,1
IP3.exe,T16_medium,medium,instance_20_4_2_10_6_Mthr_6.txt,20,4,2,"0,89",1,224,224,0,0,2,1,1,1
IP3.exe,T16_medium,medium,instance_20_4_2_10_6_Mthr_7.txt,20,4,2,"3,891",1,440,440,0,0,4,1,1,1
IP3.exe,T16_medium,medium,instance_20_4_2_10_6_Mthr_8.txt,20,4,2,"1,282",1,260,260,0,0,2,1,1,1
IP3.exe,T16_medium,medium,instance_20_4_2_10_6_Mthr_9.txt,20,4,2,"2,938",1,364,364,0,0,1,1,1,1
IP3.exe,T16_small,small,instance_20_4_2_10_6_Sthr_0.txt,20,4,2,"5,297",1,384,384,0,0,3,1,1,1
IP3.exe,T16_small,small,instance_20_4_2_10_6_Sthr_1.txt,20,4,2,"14,281",1,360,360,0,0,4,1,1,1
IP3.exe,T16_small,small,instance_20_4_2_10_6_Sthr_2.txt,20,4,2,"4,781",1,181,181,0,0,8,1,1,1
IP3.exe,T16_small,small,instance_20_4_2_10_6_Sthr_3.txt,20,4,2,"1,266",1,280,280,0,0,2,1,1,1
IP3.exe,T16_small,small,instance_20_4_2_10_6_Sthr_4.txt,20,4,2,"8,422",1,560,560,0,0,2,1,1,1
IP3.exe,T16_small,small,instance_20_4_2_10_6_Sthr_5.txt,20,4,2,"4,844",1,301,301,0,0,4,1,1,1
IP3.exe,T16_small,small,instance_20_4_2_10_6_Sthr_6.txt,20,4,2,"361,906",1,656,656,0,0,7,1,1,1
IP3.exe,T16_small,small,instance_20_4_2_10_6_Sthr_7.txt,20,4,2,"2,125",1,311,311,0,0,2,1,1,1
IP3.exe,T16_small,small,instance_20_4_2_10_6_Sthr_8.txt,20,4,2,"98,734",1,2534,334,1,1,4,1,1,1
IP3.exe,T16_small,small,instance_20_4_2_10_6_Sthr_9.txt,20,4,2,"3,297",1,410,410,0,0,4,1,1,1
IP3.exe,T17_big,big,instance_20_4_3_10_7_Bthr_0.txt,20,4,3,"1,032",1,198,198,0,0,0,1,1,1
